synthetic_cnr,state,district,court_establishment,case_type,act_section_bucket,tier,filing_date,registration_date,pending_since,filing_year,filing_year_bucket,case_age_days,current_status,current_stage,stage_entered_at,first_hearing_date,next_date,court_bench_id,days_in_current_stage,days_since_substantive_event,adjournment_count,adjournment_streak,judge_change_count,stage_deviation_ratio,cohort_size,cohort_percentile,bottleneck_type,actionability_level,triage_confidence,structural_stall_label,triage_score,is_demo_stalled,is_demo_progressing,data_label,generation_source,evidence_json,explanation_text
SYN/KL/CRL_A/2021/000011,Kerala,Lucknow,KERALA_DC_01,CRL_A,CRIMINAL_APPEAL,district,2021-12-07,2021-12-22,2021-12-22,2021,2020,1713,Pending,Summons / Appearance,2026-06-05,2022-02-07,2026-09-06,SYN-BENCH-11,72,163,0,0,2,0.75,8,,JUDGE_CHANGE,MEDIUM,LOW,1,21.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/CRL_A/2021/000011"",""court_establishment"":""KERALA_DC_01"",""case_type"":""CRL_A"",""current_stage"":""Summons / Appearance"",""filing_date"":""2021-12-07"",""stage_entered_at"":""2026-06-05"",""days_in_current_stage"":72,""cohort_median_days_in_stage"":96.0,""stage_deviation_ratio"":0.75,""days_since_substantive_event"":163,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":2,""cohort_size"":8,""cohort_age_percentile"":null,""bottleneck_type"":""JUDGE_CHANGE"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":21.3,""component_scores"":{""structural_deviation"":15.0,""inactivity"":27.17,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Summons / Appearance' for 72 days (0.75x cohort median of 96d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/MH/BA/2022/000012,Maharashtra,Bhopal,MAHARA_DC_03,BA,BAIL_GENERAL,district,2022-04-04,2022-04-12,2022-04-12,2022,2022,1595,Pending,Final Arguments / Judgment,2026-02-23,2022-05-24,2026-10-08,SYN-BENCH-09,174,122,0,0,1,1.47,7,,PROCEDURAL_INACTIVITY,MEDIUM,LOW,1,29.0,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/MH/BA/2022/000012"",""court_establishment"":""MAHARA_DC_03"",""case_type"":""BA"",""current_stage"":""Final Arguments / Judgment"",""filing_date"":""2022-04-04"",""stage_entered_at"":""2026-02-23"",""days_in_current_stage"":174,""cohort_median_days_in_stage"":118,""stage_deviation_ratio"":1.47,""days_since_substantive_event"":122,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":7,""cohort_age_percentile"":null,""bottleneck_type"":""PROCEDURAL_INACTIVITY"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":29.0,""component_scores"":{""structural_deviation"":29.4,""inactivity"":40.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Final Arguments / Judgment' for 174 days (1.47x cohort median of 118d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/DL/BA/2024/000013,Delhi,Guntur,DELHI_DC_04,BA,BAIL_GENERAL,district,2024-02-09,2024-02-09,2024-02-09,2024,2024,919,Pending,Pleadings / Issues,2026-06-23,2024-03-24,2026-09-17,SYN-BENCH-06,54,35,0,0,0,0.7,7,,UNKNOWN,LOW,LOW,0,7.1,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/DL/BA/2024/000013"",""court_establishment"":""DELHI_DC_04"",""case_type"":""BA"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2024-02-09"",""stage_entered_at"":""2026-06-23"",""days_in_current_stage"":54,""cohort_median_days_in_stage"":77,""stage_deviation_ratio"":0.7,""days_since_substantive_event"":35,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":7,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":7.1,""component_scores"":{""structural_deviation"":14.0,""inactivity"":11.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 54 days (0.7x cohort median of 77d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/UP/CS/2021/000014,Uttar Pradesh,Pune,UTTAR__DC_02,CS,CPC_GENERAL,district,2021-06-13,2021-06-28,2021-06-28,2021,2020,1890,Pending,Pleadings / Issues,2026-05-18,2021-07-28,2026-09-15,SYN-BENCH-08,90,22,0,0,0,0.54,4,,UNKNOWN,LOW,LOW,0,5.1,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/UP/CS/2021/000014"",""court_establishment"":""UTTAR__DC_02"",""case_type"":""CS"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2021-06-13"",""stage_entered_at"":""2026-05-18"",""days_in_current_stage"":90,""cohort_median_days_in_stage"":167.5,""stage_deviation_ratio"":0.54,""days_since_substantive_event"":22,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":4,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":5.1,""component_scores"":{""structural_deviation"":10.8,""inactivity"":7.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 90 days (0.54x cohort median of 168d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/DL/BA/2020/000015,Delhi,Varanasi,DELHI_DC_04,BA,BAIL_GENERAL,district,2020-03-17,2020-03-18,2020-03-18,2020,2020,2343,Pending,Evidence / Argument,2026-02-25,2020-04-02,2026-10-09,SYN-BENCH-06,172,37,0,0,1,0.95,6,,UNKNOWN,LOW,LOW,0,8.8,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/DL/BA/2020/000015"",""court_establishment"":""DELHI_DC_04"",""case_type"":""BA"",""current_stage"":""Evidence / Argument"",""filing_date"":""2020-03-17"",""stage_entered_at"":""2026-02-25"",""days_in_current_stage"":172,""cohort_median_days_in_stage"":181.0,""stage_deviation_ratio"":0.95,""days_since_substantive_event"":37,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":1,""cohort_size"":6,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":8.8,""component_scores"":{""structural_deviation"":19.0,""inactivity"":12.33,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 172 days (0.95x cohort median of 181d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/BA/2024/000016,Madhya Pradesh,Varanasi,MADHYA_DC_03,BA,BAIL_GENERAL,district,2024-01-17,2024-01-30,2024-01-30,2024,2024,942,Pending,Pleadings / Issues,2026-04-24,2024-03-29,2026-11-13,SYN-BENCH-01,114,47,0,0,0,1.15,2,,UNKNOWN,LOW,LOW,0,10.8,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/BA/2024/000016"",""court_establishment"":""MADHYA_DC_03"",""case_type"":""BA"",""current_stage"":""Pleadings / Issues"",""filing_date"":""2024-01-17"",""stage_entered_at"":""2026-04-24"",""days_in_current_stage"":114,""cohort_median_days_in_stage"":99.0,""stage_deviation_ratio"":1.15,""days_since_substantive_event"":47,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":10.8,""component_scores"":{""structural_deviation"":23.0,""inactivity"":15.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Pleadings / Issues' for 114 days (1.15x cohort median of 99d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/CRL_A/2022/000017,Tamil Nadu,Bhopal,TAMIL__DC_03,CRL_A,CRIMINAL_APPEAL,district,2022-08-09,2022-08-10,2022-08-10,2022,2022,1468,Pending,Summons / Appearance,2026-07-12,2022-09-15,2026-09-30,SYN-BENCH-09,35,14,0,0,0,0.57,2,,UNKNOWN,LOW,LOW,0,4.6,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CRL_A/2022/000017"",""court_establishment"":""TAMIL__DC_03"",""case_type"":""CRL_A"",""current_stage"":""Summons / Appearance"",""filing_date"":""2022-08-09"",""stage_entered_at"":""2026-07-12"",""days_in_current_stage"":35,""cohort_median_days_in_stage"":61.5,""stage_deviation_ratio"":0.57,""days_since_substantive_event"":14,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":4.6,""component_scores"":{""structural_deviation"":11.4,""inactivity"":4.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Summons / Appearance' for 35 days (0.57x cohort median of 62d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/KL/MACA/2021/000018,Kerala,Kolkata,KERALA_DC_01,MACA,MOTOR_ACCIDENT,district,2021-07-16,2021-07-26,2021-07-26,2021,2020,1857,Pending,Evidence / Argument,2025-12-13,2021-09-04,2026-11-13,SYN-BENCH-06,246,107,1,1,2,1.24,2,,JUDGE_CHANGE,MEDIUM,LOW,1,28.4,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/KL/MACA/2021/000018"",""court_establishment"":""KERALA_DC_01"",""case_type"":""MACA"",""current_stage"":""Evidence / Argument"",""filing_date"":""2021-07-16"",""stage_entered_at"":""2025-12-13"",""days_in_current_stage"":246,""cohort_median_days_in_stage"":199.0,""stage_deviation_ratio"":1.24,""days_since_substantive_event"":107,""adjournment_streak"":1,""adjournment_count"":1,""judge_change_count"":2,""cohort_size"":2,""cohort_age_percentile"":null,""bottleneck_type"":""JUDGE_CHANGE"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":28.4,""component_scores"":{""structural_deviation"":24.8,""inactivity"":35.67,""age_deviation"":0,""adjournment"":20.0,""actionability"":50}}",Case has been in stage 'Evidence / Argument' for 246 days (1.24x cohort median of 199d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
SYN/DL/BA/2021/000019,Delhi,Vijayawada,DELHI_DC_04,BA,BAIL_GENERAL,district,2021-02-25,2021-03-10,2021-03-10,2021,2020,1998,Pending,Evidence / Argument,2026-02-07,2021-04-20,2026-08-23,SYN-BENCH-12,190,12,0,0,0,1.05,6,,UNKNOWN,LOW,LOW,0,7.3,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/DL/BA/2021/000019"",""court_establishment"":""DELHI_DC_04"",""case_type"":""BA"",""current_stage"":""Evidence / Argument"",""filing_date"":""2021-02-25"",""stage_entered_at"":""2026-02-07"",""days_in_current_stage"":190,""cohort_median_days_in_stage"":181.0,""stage_deviation_ratio"":1.05,""days_since_substantive_event"":12,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":0,""cohort_size"":6,""cohort_age_percentile"":null,""bottleneck_type"":""UNKNOWN"",""actionability_level"":""LOW"",""triage_confidence"":""LOW"",""triage_score"":7.3,""component_scores"":{""structural_deviation"":21.0,""inactivity"":4.0,""age_deviation"":0,""adjournment"":0.0,""actionability"":0}}",Case has been in stage 'Evidence / Argument' for 190 days (1.05x cohort median of 181d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Low administrative actionability.
SYN/OT/CS/2022/000020,Telangana,Kolkata,TELANG_DC_05,CS,CPC_GENERAL,district,2022-01-30,2022-02-03,2022-02-03,2022,2022,1659,Pending,Summons / Appearance,2026-03-19,2022-03-09,2026-11-01,SYN-BENCH-09,150,197,0,0,2,1.0,3,,JUDGE_CHANGE,MEDIUM,LOW,1,32.4,False,False,SYNTHETIC_AUGMENTED,Real-data-informed synthetic generator,"{""synthetic_cnr"":""SYN/OT/CS/2022/000020"",""court_establishment"":""TELANG_DC_05"",""case_type"":""CS"",""current_stage"":""Summons / Appearance"",""filing_date"":""2022-01-30"",""stage_entered_at"":""2026-03-19"",""days_in_current_stage"":150,""cohort_median_days_in_stage"":150,""stage_deviation_ratio"":1.0,""days_since_substantive_event"":197,""adjournment_streak"":0,""adjournment_count"":0,""judge_change_count"":2,""cohort_size"":3,""cohort_age_percentile"":null,""bottleneck_type"":""JUDGE_CHANGE"",""actionability_level"":""MEDIUM"",""triage_confidence"":""LOW"",""triage_score"":32.4,""component_scores"":{""structural_deviation"":20.0,""inactivity"":65.67,""age_deviation"":0,""adjournment"":0.0,""actionability"":50}}",Case has been in stage 'Summons / Appearance' for 150 days (1.0x cohort median of 150d). Case exhibits normal or moderately delayed progression based on available synthetic timeline signals. Medium administrative actionability.
